character,language,reading,usage,word_example,is_default_for_display,source,source_property,review_status
幟,yue-HK,ci3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
幟,zh-Hant-TW,zhì,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
瞎,yue-HK,hat6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
瞎,zh-Hant-TW,xiā,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
蝸,yue-HK,wo1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
蝸,zh-Hant-TW,wō,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
蝸,zh-Hant-TW,luó,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
蝸,zh-Hant-TW,guǒ,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
賠,yue-HK,pui4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
賠,zh-Hant-TW,péi,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
鍵,yue-HK,gin6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
鍵,zh-Hant-TW,jiàn,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
錘,yue-HK,ceoi4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
錘,zh-Hant-TW,chuí,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
鞠,yue-HK,guk1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
鞠,zh-Hant-TW,jū,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
鞠,zh-Hant-TW,qū,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
鞠,zh-Hant-TW,qiōng,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
駿,yue-HK,zeon3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
駿,zh-Hant-TW,jùn,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
襖,yue-HK,ou2,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
襖,yue-HK,ou3,mandarin-mapping:ǎo,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
襖,zh-Hant-TW,ǎo,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
譏,yue-HK,gei1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
譏,zh-Hant-TW,jī,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
攜,yue-HK,kwai4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
攜,zh-Hant-TW,xié,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
魔,yue-HK,mo1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
