character,unicode,unicode_hex,edb_presence,edb_version,edb_grade_level,moe_frequency_rank,moe_frequency_score,moe_frequency_band,hk_frequency_rank,foxchild_selection_rank,foxchild_selection_score,foxchild_selection_method,frequency_bucket,foxchild_frequency_tier,foxchild_frequency_tier_method,usage_level,literacy_level,curriculum_stage,curriculum_priority,cangjie,quick,root_count,code_length,first_root,last_root,cangjie_difficulty,cangjie_difficulty_method,simple_code_candidate,simple_code_candidate_method,radical,total_strokes,structure,left_right,top_bottom,surround,single,visual_complexity,visual_complexity_method,visual_complexity_confidence,unihan_definition,learner_definition_en,learner_definition_status,suggested_category,category_method,category_confidence,category_review_status,example_word,example_phrase,example_sentence,code_uniqueness,code_uniqueness_method,cangjie_first_root_group,source_frequency,source_cangjie,source_unihan,source_edb,source_opencc,last_verified,dataset_version
面,U+9762,9762,true,2007 (online edition accessed 2026-07-28),,21,0.0054849623,top-100,,21,0.9958289885,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,MWSL,ML,4,4,M,L,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,176,9,unknown,,,,,2,total-stroke-count-proxy-v1,low,"face; surface; plane; side, dimension; Kangxi radical 176",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-M,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
大,U+5927,5927,true,2007 (online edition accessed 2026-07-28),,22,0.0052709418,top-100,,22,0.995620438,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,K,K,1,1,K,K,1,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,37,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"big, great, vast, large, high",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-K,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
分,U+5206,5206,true,2007 (online edition accessed 2026-07-28),,23,0.0052640821,top-100,,23,0.9954118874,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,CSH,CH,3,3,C,H,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,18,4,unknown,,,,,1,total-stroke-count-proxy-v1,low,divide; small unit of time etc.,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-C,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
們,U+5011,5011,true,2007 (online edition accessed 2026-07-28),,24,0.0051968577,top-100,,24,0.9952033368,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,OAN,ON,3,3,O,N,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,9,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,adjunct pronoun indicate plural,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-O,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
用,U+7528,7528,true,2007 (online edition accessed 2026-07-28),,25,0.0048319253,top-100,,25,0.9949947862,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,BQ,BQ,2,2,B,Q,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,101,5,unknown,,,,,1,total-stroke-count-proxy-v1,low,"use, employ, apply, operate; use",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-B,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
中,U+4E2D,4E2D,true,2007 (online edition accessed 2026-07-28),,26,0.004724915,top-100,,26,0.9947862357,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,L,L,1,1,L,L,1,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,2,4,unknown,,,,,1,total-stroke-count-proxy-v1,low,"central; center, middle; in the midst of; hit (target); attain",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-L,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
出,U+51FA,51FA,true,2007 (online edition accessed 2026-07-28),,27,0.0047166834,top-100,,27,0.9945776851,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,UU,UU,2,2,U,U,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,17,5,unknown,,,,,1,total-stroke-count-proxy-v1,low,"go out, send out; stand; produce",,unreviewed,actions,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-U,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
和,U+548C,548C,true,2007 (online edition accessed 2026-07-28),,28,0.0046535748,top-100,,28,0.9943691345,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,HDR,HR,3,3,H,R,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,30,8,unknown,,,,,2,total-stroke-count-proxy-v1,low,"harmony, peace; peaceful, calm",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-H,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
麼,U+9EBC,9EBC,true,2007 (online edition accessed 2026-07-28),,30,0.0044615051,top-100,,29,0.9941605839,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,ICVI,II,4,4,I,I,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,200,14,unknown,,,,,3,total-stroke-count-proxy-v1,low,"interrogative final particle; insignificant, small, tiny",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-I,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
子,U+5B50,5B50,true,2007 (online edition accessed 2026-07-28),,31,0.004425835,top-100,,30,0.9939520334,edb-eligible-then-moe-corpus-order-v1,moe-character-00031-00040,tier-1-moe-top-500,moe-rank-bands-v1,,,,,ND,ND,2,2,N,D,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,39,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"offspring, child; fruit, seed of; first earthly branch",,unreviewed,people,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
