character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
左,661,668,,true,左,"left; east; unorthodox, improper",general,KM,KM,2,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
朗,662,669,,true,朗,"clear, bright; distinct",general,IIB,IB,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
眾,663,670,,true,眾,"masses, people, multitude, crowd",general,WLOOO,WO,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
係,664,671,,true,係,"bind, tie up; involve, relation",general,OHVF,OF,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
苦,665,672,,true,苦,"bitter; hardship, suffering",general,TJR,TR,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
聯,666,673,,true,聯,"connect, join; associate, ally",general,SJVIT,ST,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
急,667,674,,true,急,"quick, quickly; urgent, pressing",general,NMP,NP,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
擇,668,675,,true,擇,"select, choose, pick out",general,QWLJ,QJ,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
齊,669,676,,true,齊,"even, uniform, of equal length; Kangxi radical 210",general,YX,YX,9,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
複,670,677,,true,複,"repeat, double, overlap",general,LOAE,LE,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
珠,671,678,,true,珠,"precious stone, gem, jewel, pearl",general,MGHJD,MD,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
極,672,679,,true,極,"extreme, utmost, furthest, final",general,DMEM,DM,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
模,673,680,,true,模,"model, standard, pattern; copy",general,DTAK,DK,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
筐,674,681,,true,筐,bamboo basket or chest,general,HSMG,HG,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
泥,675,682,,true,泥,"mud, mire; earth, clay; plaster",nature,ESP,EP,7,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
採,676,683,,true,採,"gather, collect; pick, select",general,QBD,QD,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
幹,677,684,,true,幹,trunk of tree or of human body,general,JJOMJ,JJ,5,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
嘴,678,685,,true,嘴,"mouth, lips",general,RYPB,RB,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
飄,679,686,,true,飄,"whirlwind, cyclone; floating",general,MFHNI,MI,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
勇,680,687,,true,勇,"brave, courageous, fierce",general,NBKS,NS,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
寶,681,688,,true,寶,"treasure, jewel; precious, rare",general,JMUC,JC,2,source-attested-unreviewed,⿷,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
掉,682,689,,true,掉,"turn, move; shake, wag; drop down",general,QYAJ,QJ,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
朝,683,690,,true,朝,dynasty; morning,general,JJB,JB,5,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
織,684,691,,true,織,"weave, knit; organize, unite",general,VFYIA,VA,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
技,685,692,,true,技,"skill, ability, talent, ingenuity",general,QJE,QE,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
盒,686,693,,true,盒,small box or case; casket,general,ORBT,OT,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
蟲,687,694,,true,蟲,worms; insects,general,LILII,LI,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
嚴,688,695,,true,嚴,"strict, rigorous, rigid; stern",general,RRMMK,RK,3,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
優,689,696,,true,優,"superior, excellent; actor",general,OMBE,OE,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
鮮,690,697,,true,鮮,"fresh, new, delicious; rare, few",general,NFTQ,NQ,6,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
徑,691,698,,true,徑,narrow path; diameter; direct,general,HOMVM,HM,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
乾,692,699,,true,乾,"dry; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male); trigram ☰; hexagram ䷀",nature,JJON,JN,4,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
野,693,700,,true,野,"open country, field; wilderness",general,WGNIN,WN,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
頂,694,701,,true,頂,"top, peak; carry on head; very",general,MNMBC,MC,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
漸,695,702,,true,漸,gradually; hexagram ䷴,general,EJJL,EL,6,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
叮,696,703,,true,叮,exhort or enjoin repeatedly,general,RMN,RN,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
瓶,697,704,,true,瓶,"jug, pitcher, vase, jar, bottle",general,TTMVN,TN,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
另,698,705,,true,另,"another, separate, other",general,RKS,RS,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
率,699,706,,true,率,to lead; ratio; rate; limit,general,YIOJ,YJ,5,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
睡,700,707,,true,睡,"sleep, doze",general,BUHJM,BM,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
言,701,708,,true,言,"words, speech; speak, say; Kangxi radical 149",actions,YMMR,YR,4,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
房,702,709,,true,房,"house, building; room; 4th lunar mansion, determinative star π Scorpii",general,HSYHS,HS,3,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
餘,703,710,,true,餘,"surplus, excess, remainder",general,OIOMD,OD,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
鈴,704,711,,true,鈴,bell,general,COII,CI,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
推,705,712,,true,推,"push, expel; push forward",general,QOG,QG,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
族,706,713,,true,族,"a family clan, ethnic group, tribe",general,YSOOK,YK,5,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
季,707,714,,true,季,quarter of year; season; surname,people,HDND,HD,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
趕,708,715,,true,趕,"pursue, follow; expel, drive away",general,GOAMJ,GJ,2,source-attested-unreviewed,⿺,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
增,709,716,,true,增,"increase, add to, augment",general,GCWA,GA,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
層,710,717,,true,層,"story, layer, floor, stratum",general,SCWA,SA,2,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
怕,711,718,,true,怕,"to fear, be afraid of; apprehensive",general,PHA,PA,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
桌,712,719,,true,桌,"table, desk, stand",general,YAD,YD,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
冬,713,720,,true,冬,"winter, 11th lunar month",general,HEY,HY,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
升,714,721,,true,升,"arise, go up; hoist; advance; hexagram ䷭",actions,HT,HT,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
賽,715,722,,true,賽,"compete, contend; contest, race",general,JTCC,JC,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
洋,716,723,,true,洋,"ocean, sea; foreign; western",general,ETQ,EQ,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
敲,717,724,,true,敲,"strike, beat, pound, hammer; rap",general,YBYE,YE,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
調,718,725,,true,調,"transfer, move, change; tune",general,YRBGR,YR,5,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
隨,719,726,,true,隨,"follow, listen to, submit; to accompany; subsequently, then; hexagram ䷐",general,NLYKB,NB,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
紀,720,727,,true,紀,"record, annal, historical account",general,VFSU,VU,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
旁,721,728,,true,旁,"side; by side, close by, near",general,YBYHS,YS,5,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
腦,722,729,,true,腦,brain,general,BVVW,BW,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
鴨,723,730,,true,鴨,duck; Anas species (various),general,WLHAF,WF,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
爬,724,731,,true,爬,"crawl, creep; climb; scramble",general,HOAU,HU,2,source-attested-unreviewed,⿺,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
決,725,732,,true,決,"decide, determine, judge",general,EDK,EK,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
遇,726,733,,true,遇,"meet, come across, encounter",actions,YWLB,YB,4,source-attested-unreviewed,⿺,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
伯,727,734,,true,伯,older brother; father's elder brother; senior male 'sire'; feudal rank 'count',people,OHA,OA,5,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
沉,728,735,,true,沉,"sink, submerge; addicted to",general,EBHN,EN,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
套,729,736,,true,套,"case, cover, wrapper, envelope",general,KSMI,KI,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
敢,730,737,,true,敢,"to dare, venture; bold, brave",general,MJOK,MK,2,source-attested-unreviewed,⿹,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
略,731,738,,true,略,"approximately, roughly; outline",general,WHER,WR,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
論,732,739,,true,論,debate; discuss; discourse,general,YROMB,YB,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
助,733,740,,true,助,"help, aid, assist",general,BMKS,BS,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
兔,734,741,,true,兔,"rabbit, hare",general,NAHI,NI,4,source-attested-unreviewed,⿷,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
驚,735,742,,true,驚,"frighten, surprise, startle",general,TKSQF,TF,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
